poly,proportion
5a7,0.059322033898305086
3a7,0.059322033898305086
3a8,0.059322033898305086
4a9,0.05084745762711865
8a9,0.05084745762711865
8a11,0.05084745762711865
7a12,0.05084745762711865
4a7,0.05084745762711865
6a7,0.05084745762711865
7a8,0.05084745762711865
9a11,0.0423728813559322
6a11,0.0423728813559322
7a11,0.0423728813559322
10a11,0.0423728813559322
7a9,0.03389830508474576
5a11,0.03389830508474576
2a7,0.03389830508474576
5a8,0.03389830508474576
7a10,0.03389830508474576
3a4,0.03389830508474576
11a12,0.025423728813559324
9a10,0.01694915254237288
3a5,0.01694915254237288
4a5,0.01694915254237288
2a5,0.00847457627118644
5a6,0.00847457627118644
