name,inst1,inst2,bpm,num_bars,poly,pair,ratio,poly1,poly2,set
polyrhy-MelodicTom_SynthDrum-120_2a3,MelodicTom,SynthDrum,120,2,2a3,MelodicTom_SynthDrum,0.6666666666666666,2,3,train
polyrhy-SynthDrum_MelodicTom-120_2a3,SynthDrum,MelodicTom,120,2,2a3,MelodicTom_SynthDrum,0.6666666666666666,2,3,train
polyrhy-MelodicTom_SynthDrum-120_3a4,MelodicTom,SynthDrum,120,2,3a4,MelodicTom_SynthDrum,0.75,3,4,train
polyrhy-SynthDrum_MelodicTom-120_3a4,SynthDrum,MelodicTom,120,2,3a4,MelodicTom_SynthDrum,0.75,3,4,train
polyrhy-MelodicTom_SynthDrum-120_4a5,MelodicTom,SynthDrum,120,2,4a5,MelodicTom_SynthDrum,0.8,4,5,train
polyrhy-SynthDrum_MelodicTom-120_4a5,SynthDrum,MelodicTom,120,2,4a5,MelodicTom_SynthDrum,0.8,4,5,train
polyrhy-MelodicTom_SynthDrum-120_5a6,MelodicTom,SynthDrum,120,2,5a6,MelodicTom_SynthDrum,0.8333333333333334,5,6,train
polyrhy-SynthDrum_MelodicTom-120_5a6,SynthDrum,MelodicTom,120,2,5a6,MelodicTom_SynthDrum,0.8333333333333334,5,6,train
polyrhy-MelodicTom_SynthDrum-120_6a7,MelodicTom,SynthDrum,120,2,6a7,MelodicTom_SynthDrum,0.8571428571428571,6,7,train
polyrhy-SynthDrum_MelodicTom-120_6a7,SynthDrum,MelodicTom,120,2,6a7,MelodicTom_SynthDrum,0.8571428571428571,6,7,train
polyrhy-MelodicTom_SynthDrum-120_7a8,MelodicTom,SynthDrum,120,2,7a8,MelodicTom_SynthDrum,0.875,7,8,train
polyrhy-SynthDrum_MelodicTom-120_7a8,SynthDrum,MelodicTom,120,2,7a8,MelodicTom_SynthDrum,0.875,7,8,train
polyrhy-MelodicTom_SynthDrum-120_3a5,MelodicTom,SynthDrum,120,2,3a5,MelodicTom_SynthDrum,0.6,3,5,train
polyrhy-SynthDrum_MelodicTom-120_3a5,SynthDrum,MelodicTom,120,2,3a5,MelodicTom_SynthDrum,0.6,3,5,train
polyrhy-MelodicTom_SynthDrum-120_5a7,MelodicTom,SynthDrum,120,2,5a7,MelodicTom_SynthDrum,0.7142857142857143,5,7,train
polyrhy-SynthDrum_MelodicTom-120_5a7,SynthDrum,MelodicTom,120,2,5a7,MelodicTom_SynthDrum,0.7142857142857143,5,7,train
polyrhy-TinkleBell_MelodicTom-120_2a3,TinkleBell,MelodicTom,120,2,2a3,MelodicTom_TinkleBell,0.6666666666666666,2,3,train
polyrhy-MelodicTom_TinkleBell-120_2a3,MelodicTom,TinkleBell,120,2,2a3,MelodicTom_TinkleBell,0.6666666666666666,2,3,train
polyrhy-TinkleBell_MelodicTom-120_3a4,TinkleBell,MelodicTom,120,2,3a4,MelodicTom_TinkleBell,0.75,3,4,train
polyrhy-MelodicTom_TinkleBell-120_3a4,MelodicTom,TinkleBell,120,2,3a4,MelodicTom_TinkleBell,0.75,3,4,train
polyrhy-TinkleBell_MelodicTom-120_4a5,TinkleBell,MelodicTom,120,2,4a5,MelodicTom_TinkleBell,0.8,4,5,train
polyrhy-MelodicTom_TinkleBell-120_4a5,MelodicTom,TinkleBell,120,2,4a5,MelodicTom_TinkleBell,0.8,4,5,train
polyrhy-TinkleBell_MelodicTom-120_5a6,TinkleBell,MelodicTom,120,2,5a6,MelodicTom_TinkleBell,0.8333333333333334,5,6,train
polyrhy-MelodicTom_TinkleBell-120_5a6,MelodicTom,TinkleBell,120,2,5a6,MelodicTom_TinkleBell,0.8333333333333334,5,6,train
polyrhy-TinkleBell_MelodicTom-120_6a7,TinkleBell,MelodicTom,120,2,6a7,MelodicTom_TinkleBell,0.8571428571428571,6,7,train
polyrhy-MelodicTom_TinkleBell-120_6a7,MelodicTom,TinkleBell,120,2,6a7,MelodicTom_TinkleBell,0.8571428571428571,6,7,train
polyrhy-TinkleBell_MelodicTom-120_7a8,TinkleBell,MelodicTom,120,2,7a8,MelodicTom_TinkleBell,0.875,7,8,train
polyrhy-MelodicTom_TinkleBell-120_7a8,MelodicTom,TinkleBell,120,2,7a8,MelodicTom_TinkleBell,0.875,7,8,train
polyrhy-TinkleBell_MelodicTom-120_3a5,TinkleBell,MelodicTom,120,2,3a5,MelodicTom_TinkleBell,0.6,3,5,train
polyrhy-MelodicTom_TinkleBell-120_3a5,MelodicTom,TinkleBell,120,2,3a5,MelodicTom_TinkleBell,0.6,3,5,train
polyrhy-TinkleBell_MelodicTom-120_5a7,TinkleBell,MelodicTom,120,2,5a7,MelodicTom_TinkleBell,0.7142857142857143,5,7,train
polyrhy-MelodicTom_TinkleBell-120_5a7,MelodicTom,TinkleBell,120,2,5a7,MelodicTom_TinkleBell,0.7142857142857143,5,7,train
polyrhy-Woodblock_TaikoDrum-120_2a3,Woodblock,TaikoDrum,120,2,2a3,TaikoDrum_Woodblock,0.6666666666666666,2,3,train
polyrhy-TaikoDrum_Woodblock-120_2a3,TaikoDrum,Woodblock,120,2,2a3,TaikoDrum_Woodblock,0.6666666666666666,2,3,train
polyrhy-Woodblock_TaikoDrum-120_3a4,Woodblock,TaikoDrum,120,2,3a4,TaikoDrum_Woodblock,0.75,3,4,train
polyrhy-TaikoDrum_Woodblock-120_3a4,TaikoDrum,Woodblock,120,2,3a4,TaikoDrum_Woodblock,0.75,3,4,train
polyrhy-Woodblock_TaikoDrum-120_4a5,Woodblock,TaikoDrum,120,2,4a5,TaikoDrum_Woodblock,0.8,4,5,train
polyrhy-TaikoDrum_Woodblock-120_4a5,TaikoDrum,Woodblock,120,2,4a5,TaikoDrum_Woodblock,0.8,4,5,train
polyrhy-Woodblock_TaikoDrum-120_5a6,Woodblock,TaikoDrum,120,2,5a6,TaikoDrum_Woodblock,0.8333333333333334,5,6,train
polyrhy-TaikoDrum_Woodblock-120_5a6,TaikoDrum,Woodblock,120,2,5a6,TaikoDrum_Woodblock,0.8333333333333334,5,6,train
polyrhy-Woodblock_TaikoDrum-120_6a7,Woodblock,TaikoDrum,120,2,6a7,TaikoDrum_Woodblock,0.8571428571428571,6,7,train
polyrhy-TaikoDrum_Woodblock-120_6a7,TaikoDrum,Woodblock,120,2,6a7,TaikoDrum_Woodblock,0.8571428571428571,6,7,train
polyrhy-Woodblock_TaikoDrum-120_7a8,Woodblock,TaikoDrum,120,2,7a8,TaikoDrum_Woodblock,0.875,7,8,train
polyrhy-TaikoDrum_Woodblock-120_7a8,TaikoDrum,Woodblock,120,2,7a8,TaikoDrum_Woodblock,0.875,7,8,train
polyrhy-Woodblock_TaikoDrum-120_3a5,Woodblock,TaikoDrum,120,2,3a5,TaikoDrum_Woodblock,0.6,3,5,train
polyrhy-TaikoDrum_Woodblock-120_3a5,TaikoDrum,Woodblock,120,2,3a5,TaikoDrum_Woodblock,0.6,3,5,train
polyrhy-Woodblock_TaikoDrum-120_5a7,Woodblock,TaikoDrum,120,2,5a7,TaikoDrum_Woodblock,0.7142857142857143,5,7,train
polyrhy-TaikoDrum_Woodblock-120_5a7,TaikoDrum,Woodblock,120,2,5a7,TaikoDrum_Woodblock,0.7142857142857143,5,7,train
polyrhy-TaikoDrum_MelodicTom-120_2a3,TaikoDrum,MelodicTom,120,2,2a3,MelodicTom_TaikoDrum,0.6666666666666666,2,3,train
polyrhy-MelodicTom_TaikoDrum-120_2a3,MelodicTom,TaikoDrum,120,2,2a3,MelodicTom_TaikoDrum,0.6666666666666666,2,3,train
polyrhy-TaikoDrum_MelodicTom-120_3a4,TaikoDrum,MelodicTom,120,2,3a4,MelodicTom_TaikoDrum,0.75,3,4,train
polyrhy-MelodicTom_TaikoDrum-120_3a4,MelodicTom,TaikoDrum,120,2,3a4,MelodicTom_TaikoDrum,0.75,3,4,train
polyrhy-TaikoDrum_MelodicTom-120_4a5,TaikoDrum,MelodicTom,120,2,4a5,MelodicTom_TaikoDrum,0.8,4,5,train
polyrhy-MelodicTom_TaikoDrum-120_4a5,MelodicTom,TaikoDrum,120,2,4a5,MelodicTom_TaikoDrum,0.8,4,5,train
polyrhy-TaikoDrum_MelodicTom-120_5a6,TaikoDrum,MelodicTom,120,2,5a6,MelodicTom_TaikoDrum,0.8333333333333334,5,6,train
polyrhy-MelodicTom_TaikoDrum-120_5a6,MelodicTom,TaikoDrum,120,2,5a6,MelodicTom_TaikoDrum,0.8333333333333334,5,6,train
polyrhy-TaikoDrum_MelodicTom-120_6a7,TaikoDrum,MelodicTom,120,2,6a7,MelodicTom_TaikoDrum,0.8571428571428571,6,7,train
polyrhy-MelodicTom_TaikoDrum-120_6a7,MelodicTom,TaikoDrum,120,2,6a7,MelodicTom_TaikoDrum,0.8571428571428571,6,7,train
polyrhy-TaikoDrum_MelodicTom-120_7a8,TaikoDrum,MelodicTom,120,2,7a8,MelodicTom_TaikoDrum,0.875,7,8,train
polyrhy-MelodicTom_TaikoDrum-120_7a8,MelodicTom,TaikoDrum,120,2,7a8,MelodicTom_TaikoDrum,0.875,7,8,train
polyrhy-TaikoDrum_MelodicTom-120_3a5,TaikoDrum,MelodicTom,120,2,3a5,MelodicTom_TaikoDrum,0.6,3,5,train
polyrhy-MelodicTom_TaikoDrum-120_3a5,MelodicTom,TaikoDrum,120,2,3a5,MelodicTom_TaikoDrum,0.6,3,5,train
polyrhy-TaikoDrum_MelodicTom-120_5a7,TaikoDrum,MelodicTom,120,2,5a7,MelodicTom_TaikoDrum,0.7142857142857143,5,7,train
polyrhy-MelodicTom_TaikoDrum-120_5a7,MelodicTom,TaikoDrum,120,2,5a7,MelodicTom_TaikoDrum,0.7142857142857143,5,7,train
polyrhy-SteelDrums_MelodicTom-120_2a3,SteelDrums,MelodicTom,120,2,2a3,MelodicTom_SteelDrums,0.6666666666666666,2,3,train
